T	Layout	IType	ItOuter	ItInner	ni_	nj_	nk_	size_	is_	ie_	js_	je_	ks_	ke_	tiling_[0]	tiling_[1]	tiling_[2]	vector_length_	nvars_	pre_step_type_	step_type_	post_step_type_	ncells_	flops_per_cell_	arith_intensity_	nsteps_	ndims_	elapsed_times_[0]	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	512	1	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0179738	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	512	1	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00354785	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	512	1	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00193483	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	512	1	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0035509	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	512	1	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00359697	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	512	1	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00193987	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	512	1	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00350522	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	512	1	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00353035	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	512	1	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00193871	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	512	1	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00358847	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	512	1	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0197921	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	512	1	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.018987	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	512	1	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0199186	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	512	1	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0198052	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	512	1	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0189858	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	512	1	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.01984	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	512	1	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0198804	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	512	1	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0188679	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	512	1	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.019836	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.00237114	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.00226049	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.00236785	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.00237248	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.00225804	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.002368	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.00236884	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.00225639	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.00237403	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0121982	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0132082	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0122989	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0122709	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0132102	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0123501	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0122445	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0132144	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0122208	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00579613	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0030793	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0057973	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00579547	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00307818	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00579419	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00578785	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00308602	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00579082	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0165894	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0166683	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0165973	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.016551	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0165687	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0166187	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0165703	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0165736	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	512	2	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0166022	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.000948103	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.000927885	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.000941075	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.000938767	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.000930544	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.000936866	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.000940906	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.000939861	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.000943726	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0111286	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0114907	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0111217	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0113314	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0112486	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0114042	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0112478	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0110286	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0112941	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00316455	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00485281	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00310521	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00312529	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00476229	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00321285	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0031579	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00488784	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00316543	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0152045	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0140401	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0148411	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0152173	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0141658	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.014837	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0151624	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0143554	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0147776	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Left	64	64	64	262144	2	61	2	61	2	61	512	1	1	0	5	kNone	kMDRange	kNone	216000	15	0.46875	5	1	0.00134956	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Right	64	64	64	262144	2	61	2	61	2	61	512	1	1	0	5	kNone	kMDRange	kNone	216000	15	0.46875	5	1	0.00110686	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Default	64	64	64	262144	2	61	2	61	2	61	512	1	1	0	5	kNone	kMDRange	kNone	216000	15	0.46875	5	1	0.00139831	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Left	64	64	64	262144	2	61	2	61	2	61	512	1	1	0	5	kNone	kMDRange	kNone	216000	15	0.46875	5	1	0.00140436	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Right	64	64	64	262144	2	61	2	61	2	61	512	1	1	0	5	kNone	kMDRange	kNone	216000	15	0.46875	5	1	0.00109466	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Default	64	64	64	262144	2	61	2	61	2	61	512	1	1	0	5	kNone	kMDRange	kNone	216000	15	0.46875	5	1	0.00140062	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Left	64	64	64	262144	2	61	2	61	2	61	512	1	1	0	5	kNone	kMDRange	kNone	216000	15	0.46875	5	1	0.00137651	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Right	64	64	64	262144	2	61	2	61	2	61	512	1	1	0	5	kNone	kMDRange	kNone	216000	15	0.46875	5	1	0.00109127	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Default	64	64	64	262144	2	61	2	61	2	61	512	1	1	0	5	kNone	kMDRange	kNone	216000	15	0.46875	5	1	0.00138999	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Left	64	64	64	262144	2	61	2	61	2	61	512	1	1	0	5	kNone	kMDRange	kNone	216000	15	0.46875	5	1	0.0143646	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Right	64	64	64	262144	2	61	2	61	2	61	512	1	1	0	5	kNone	kMDRange	kNone	216000	15	0.46875	5	1	0.0146982	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Default	64	64	64	262144	2	61	2	61	2	61	512	1	1	0	5	kNone	kMDRange	kNone	216000	15	0.46875	5	1	0.0144437	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Left	64	64	64	262144	2	61	2	61	2	61	512	1	1	0	5	kNone	kMDRange	kNone	216000	15	0.46875	5	1	0.014204	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Right	64	64	64	262144	2	61	2	61	2	61	512	1	1	0	5	kNone	kMDRange	kNone	216000	15	0.46875	5	1	0.0146252	
